no,jp,en,video,lv,note,scene,hint_1,hint_2,explain_meaning,explain_nuance,explain_grammar,similars
121,少し早すぎます。,It's a bit early.,1,1,予定や時間が早い時。,daily,early を使う,a bit を使う,時間が早すぎることを伝える,予定より早いことを指摘する表現,a bit は「少し」という意味の副詞,Too early|A little early|Bit soon
122,少し遅すぎます。,It's a bit late.,1,1,時間が遅いと感じる時。,daily,late を使う,a bit を使う,時間が遅すぎることを伝える,予定より遅いことを指摘する表現,a bit late は「少し遅い」,Too late|A little late|Running late
123,今すぐ戻ります。,I'll be back shortly.,1,1,すぐ戻ることを伝える。,daily,shortly を使う,back を使う,短時間で戻ることを約束する,soon より短い時間のニュアンス,shortly は副詞で「すぐに」,Be right back|I'll return soon|Back in a moment
124,急いでいます。,I'm in a hurry.,1,1,時間がない時。,daily,hurry を使う,in を使う,急いでいることを伝える,時間がないことを強調する表現,in a hurry は「急いで」という慣用表現,I'm rushing|I'm pressed for time|In a rush
125,落ち着いてください。,Please calm down.,1,1,相手をなだめる時。,daily,calm を使う,Please を使う,興奮している人を落ち着かせる,感情的な相手への対応,calm down は「落ち着く」という句動詞,Take it easy|Relax|Stay calm
126,それは知りませんでした。,I didn't know that.,1,1,初めて知った時。,daily,know を使う,didn't を使う,知らなかったことを伝える,新情報への反応として使う,過去形で「知らなかった」,I wasn't aware|News to me|I had no idea
127,そう聞いています。,That's what I heard.,1,1,伝聞であることを示す。,daily,heard を使う,what を使う,他の人から聞いた情報であることを示す,情報源が自分ではないことを明示,That's what I heard は伝聞を表す定番,So I've heard|That's the word|I heard that too
128,間違っていたらすみません。,Correct me if I'm wrong.,1,1,前置きとして使う。,work,correct を使う,if を使う,誤りがあれば指摘してほしいと前置き,控えめに意見を述べる時の枕詞,Correct me if I'm wrong は定型表現,Please correct me|If I'm mistaken|I might be wrong but
129,私の理解では…,As I understand it...,1,1,自分の理解を述べる。,work,understand を使う,As を使う,自分の理解に基づく意見の前置き,誤解の可能性を含む控えめな表現,As I understand は「私の理解では」という前置き,From what I understand|As far as I know|My understanding is
130,それで大丈夫です。,That should be fine.,1,1,問題ないと判断する。,daily,should を使う,fine を使う,おそらく問題ないと判断する,確信はないが大丈夫だと思う時,should は「〜のはず」という推量,That's probably fine|Should work|That ought to be okay
131,その必要はないと思います。,I don't think it's necessary.,1,1,やんわり否定する。,work,necessary を使う,don't think を使う,不要だと柔らかく意見する,直接否定を避ける婉曲表現,I don't think は控えめな否定,I don't think we need that|Not necessary|Probably not needed
132,念のため聞きますが…,Just to be sure...,1,1,確認の前置き。,work,sure を使う,Just to be を使う,確認のための質問の前置き,慎重さを示す丁寧な前置き,Just to be sure は確認の定型表現,To confirm|To double-check|Just checking
133,それは予想外でした。,I didn't expect that.,1,1,想定外の出来事。,daily,expect を使う,didn't を使う,予想していなかったことを伝える,驚きや意外性を表現,expect は「予想する」という動詞,That's unexpected|I wasn't expecting that|Surprised by that
134,その通りだと思います。,I think you're right.,1,1,相手に同意する。,daily,think を使う,you're right を使う,相手の意見が正しいと同意する,控えめな同意の表現,I think + 節で意見を述べる,You're probably right|I agree|I think so too
